category,text
business,"In early afternoon trade in London the company share price was down 1% at 1218 pence. Mr Garnier said the company had absorbed over £1.5bn of lost sales to generics but still managing to grow the business. ""The continuing success of our key products means we can now look forward to a good performance in 2005,"" he said. ""2005 will also be an important year in terms of research and development pipeline progress."" However, the firm discontinued development of an experimental treatment for obesity, known as '771, after disappointing clinical trial results. Glaxo is relying on new treatments for conditions such as cancer, diabetes, depression, HIV/AIDS and allergies to lift the pace of sales growth after several disappointing years."
business,Peugeot deal boosts Mitsubishi
business,"Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV)."
business,"The two firms signed a Memorandum of Understanding, and say they expect to seal a final agreement by Spring 2005. The alliance comes as a badly-needed boost for loss-making Mitsubishi, after several profit warnings and poor sales. The SUVs will be built in Japan using Peugeot's diesel engines and sold mainly in the European market. Falling sales have left Mitsubishi Motors with underused capacity, and the production deal with Peugeot gives it a chance to utilise some of it."
business,"In January, Mitsubishi Motors issued its third profits warning in nine months, and cut its sales forecasts for the year to March 2005. Its sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles. As a result, the Japanese car maker has sought a series of financial bailouts. Last month it said it was looking for a further 540bn yen ($5.2bn; £2.77bn) in fresh financial backing, half of it from other companies in the Mitsubishi group. US-German carmaker DaimlerChrylser, a 30% shareholder in Mitsubishi Motors, decided in April 2004 not to pump in any more money. The deal with Peugeot was celebrated by Mitsubishi's newly-appointed chief executive Takashi Nishioka, who took over after three top bosses stood down last month to shoulder responsibility for the firm's troubles. Mitsubishi Motors has forecast a net loss of 472bn yen in its current financial year to March 2005. Last month, it signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan. It has been making cars for Nissan since 2003."
business,US adds more jobs than expected
business,"The US economy added 337,000 jobs in October - a seven-month high and far more than Wall Street expectations."
business,"In a welcome economic boost for newly re-elected President George W Bush, the Labor Department figures come after a slow summer of weak jobs gains. Jobs were created in every sector of the US economy except manufacturing. While the separate unemployment rate went up to 5.5% from 5.4% in September, this was because more people were now actively seeking work."
business,"The 337,000 new jobs added to US payrolls in October was twice the 169,000 figure that Wall Street economists had forecast. In addition, the Labor Department revised up the number of jobs created in the two previous months - to 139,000 in September instead of 96,000, and to 198,000 in August instead of 128,000. The better than expected jobs data had an immediate upward effect on stocks in New York, with the main Dow Jones index gaining 45.4 points to 10,360 by late morning trading. ""It looks like the job situation is improving and that this will support consumer spending going into the holidays, and offset some of the drag caused by high oil prices this year,"" said economist Gary Thayer of AG Edwards & Sons."
business,"Other analysts said the upbeat jobs data made it more likely that the US Federal Reserve would increase interest rates by a quarter of a percentage point to 2% when it meets next week. ""It should empower the Fed to clearly do something,"" said Robert MacIntosh, chief economist with Eaton Vance Management in Boston. Kathleen Utgoff, commissioner of the Bureau of Labor, said many of the 71,000 new construction jobs added in October were involved in rebuilding and clean-up work in Florida, and neighbouring Deep South states, following four hurricanes in August and September. The dollar rose temporarily on the job creation news before falling back to a new record low against the euro, as investors returned their attention to other economic factors, such as the US's record trade deficit. There is also speculation that President Bush will deliberately try to keep the dollar low in order to assist a growth in exports."
business,German jobless rate at new record
business,"More than 5.2 million Germans were out of work in February, new figures show."
business,"The figure of 5.216 million people, or 12.6% of the working-age population, is the highest jobless rate in Europe's biggest economy since the 1930s. The news comes as the head of Germany's panel of government economic advisers predicted growth would again stagnate. Speaking on German TV, Bert Ruerup said the panel's earlier forecast of 1.4% was too optimistic and warned growth would be just 1% in 2005."
business,"The German government is trying to tackle the stubbornly-high levels of joblessness with a range of labour market reforms. At their centre is the ""Hartz-IV"" programme introduced in January to shake up welfare benefits and push people back into work - even if some of the jobs are heavily subsidised. The latest unemployment figures look set to increase the pressure on the government. Widely leaked to the German newspapers a day in advance, they produced screaming headlines criticising Chancellor Gerhard Schroeder's Social Democrat-Green Party administration. Mr Schroeder had originally come into office promising to halve unemployment."
business,"Still, some measures suggest the picture is not quite so bleak. The soaring official unemployment figure follows a change in the methodology which pushed up the jobless rate by more than 500,000 in January. Adjusted for seasonal changes, the overall unemployment rate is 4.875 million people or 11.7%, up 0.3 percentage points from the previous month. Using the most internationally-accepted methodology of the International Labour Organisation (ILO), Germany had 3.97 million people out of work in January. And ILO-based figures also suggest that 14,000 new net jobs were created that month, taking the number of people employed to 38.9 million. The ILO defines an unemployed person as someone who in the previous four weeks had actively looked for work they could take up immediately."
business,Weak dollar trims Cadbury profits
business,"The world's biggest confectionery firm, Cadbury Schweppes, has reported a modest rise in profits after the weak dollar took a bite out of its results."
business,"Underlying pre-tax profits rose 1% to £933m ($1.78bn) in 2004, but would have been 8% higher if currency movements were stripped out. The owner of brands such as Dairy Milk, Dr Pepper and Snapple generates more than 80% of its sales outside the UK. Cadbury said it was confident it would hit its targets for 2005. ""While the external commercial environment remains competitive, we are confident that we have the strategy, brands and people to deliver within our goal ranges in 2005,"" said chief executive Todd Stitzer."
business,The modest profit rise had been expected by analysts after the company said in December that the poor summer weather had hit soft drink sales in Europe.
business,"Cadbury said its underlying sales were up by 4% in 2004. Growth was helped by its confectionery brands - including Cadbury, Trident and Halls - which enjoyed a ""successful"" year, with like-for-like sales up 6%. Drinks sales were up 2% with strong growth in US carbonated soft drinks, led by Dr Pepper and diet drinks, offset by the weaker sales in Europe. Cadbury added that its Fuel for Growth cost-cutting programme had saved £75m in 2004, bringing total cost savings to £100m since the scheme began in mid-2003. The programme is set to close 20% of the group's factories and shed 10% of the workforce. Cadbury Schweppes employs more than 50,000 people worldwide, with about 7,000 in the UK."
business,Oil prices fall back from highs
business,Oil prices retreated from four-month highs in early trading on Tuesday after producers' cartel Opec said it was now unlikely to cut production.
business,"Following the comments by acting Opec secretary general Adnan Shihab-Eldin, US light crude fell 32 cents to $51.43 a barrel. He said that high oil prices meant Opec was unlikely to stick to its plan to cut output in the second quarter. In London, Brent crude fell 32 cents to $49.74 a barrel."
business,"Opec members are next meeting to discuss production levels on 16 March. On Monday, oil prices rose for a sixth straight session, reaching a four-month high as cold weather in the US threatened stocks of heating oil. US demand for heating oil was predicted to be about 14% above normal this week, while stocks were currently about 7.5% below the levels of a year ago. Cold weather across Europe has also put upward pressure on crude prices."
business,Winn-Dixie files for bankruptcy
business,US supermarket group Winn-Dixie has filed for bankruptcy protection after succumbing to stiff competition in a market dominated by Wal-Mart.
business,"Winn-Dixie, once among the most profitable of US grocers, said Chapter 11 protection would enable it to successfully restructure. It said its 920 stores would remain open, but analysts said it would most likely off-load a number of sites. The Jacksonville, Florida-based firm has total debts of $1.87bn (£980m). In its bankruptcy petition it listed its biggest creditor as US foods giant Kraft Foods, which it owes $15.1m."
business,"Analysts say Winn-Dixie had not kept up with consumers' demands and had also been burdened by a number of stores in need of upgrading. A 10-month restructuring plan was deemed a failure, and following a larger-than-expected quarterly loss earlier this month, Winn-Dixie's slide into bankruptcy was widely expected. The company's new chief executive Peter Lynch said Winn-Dixie would use the Chapter 11 breathing space to take the necessary action to turn itself around. ""This includes achieving significant cost reductions, improving the merchandising and customer service in all locations and generating a sense of excitement in the stores,"" he said. Yet Evan Mann, a senior bond analyst at Gimme Credit, said Mr Lynch's job would not be easy, as the bankruptcy would inevitably put off some customers. ""The real big issue is what's going to happen over the next one or two quarters now that they are in bankruptcy and all their customers see this in their local newspapers,"" he said."
business,Saab to build Cadillacs in Sweden
business,"General Motors, the world's largest car maker, has confirmed that it will build a new medium-sized Cadillac BLS at its loss-making Saab factory in Sweden."
business,"The car, unveiled at the Geneva motor show, is intended to compete in the medium-sized luxury car market. It will not be sold in the US, said GM Europe president Carl-Peter Forster. As part of its efforts to make the US marque appeal to European drivers, the car will be the first Cadillac with a diesel engine."
business,"GM's announcement should go some way to allay fears of the Saab factory's closure. The factory in Trollhaettan has been at the centre of rumours about GM's planned severe cutbacks in its troubled European operations. But the group's new commitment to the Swedish factory may not be welcomed by the group's Opel workers in Ruesselsheim, Germany. They may now have to face a larger proportion of GM's cuts."
business,"Neither will the announcement be seen as unalloyed good news in Sweden, since it reflects Saab's failure to make significant inroads into the lucrative European luxury car market. For years, Saab has consistently said it is competing head-on with BMW, Mercedes and Jaguar. The segment's leaders do not agree."
business,"GM's plans to build the American marque in Sweden is part of its efforts to push it as an alternative luxury brand for European drivers. In the US, it has long been established as an upmarket brand - even the presidential limousine carries the badge. Yet it could prove tough for Cadillac to steal market share from the majors in Europe. Other luxury car makers, most notably the Toyota subsidiary Lexus, have enjoyed tremendous success in the US without managing to make significant inroads in Europe. There, German marques Mercedes Benz and BMW have retained their stranglehold on the luxury market."
business,"Bringing Cadillac production to Sweden should help introduce desperately-needed scale to the Saab factory, which currently produces fewer than 130,000 cars per year. That is about half of what major car makers consider sufficient numbers for profitable operations, and Saab is losing money fast - albeit with losses halved in 2004 to $200m (£104m; 151m euros) from $500m the previous year. Beyond the 12,000 job cuts announced last year at its European operations, GM is reducing expenditure by building Saabs, Opels - badged as Vauxhalls in the UK - and now Cadillacs on the same framework, and by allowing the different brands to share parts. Another way to further reduce Saab's losses could be to shift some of the production of Saabs to the US, a market where drivers have adopted it as an upmarket European car. Doing so would remove the exposure to the weak US dollar, which is making Saabs more expensive to US consumers. But not everyone in the industry agree that it would be the best way forward. ""We know that in five years the US dollar will be stronger than it is today,"" the chief executive of a leading European car maker told BBC News. The current trend towards US production was ""stupid"", he said."
business,"In a separate announcement, GM unveiled a new scheme to allow European consumers the chance to test drive its Opel and Vauxhall models. It is to deploy a fleet of 35,000 test cars across 40 countries, inviting potential buyers to try out a vehicle for 24-hours. It follows a similar initiative by GM in the US. GM said it wanted to change ""customers' perceptions"" about Opel and Vauxhall cars, showing them that the quality had improved in recent years."
business,Bank voted 8-1 for no rate change
business,"The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body, minutes have shown."
business,"One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - voted to raise rates to 5%. The news surprised some analysts who had expected the latest minutes to show another unanimous decision. Worries over growth rates and consumer spending were behind the decision to freeze rates, the minutes showed. The Bank's latest inflation report, released last week, had noted that the main reason inflation might fall was weaker consumer spending."
business,"However, MPC member Paul Tucker voted for a quarter point rise in interest rates to 5%. He argued that economic growth was picking up, and that the equity, credit and housing markets had been stronger than expected."
business,"The Bank's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at its latest meeting. However, the minutes added: ""Some members noted that an increase might be warranted in due course if the economy evolved in line with the central projection"". Ross Walker, UK economist at Royal Bank of Scotland, said he was surprised that a dissenting vote had been made so soon. He said the minutes appeared to be ""trying to get the market to focus on the possibility of a rise in rates"". ""If the economy pans out as they expect then they are probably going to have to hike rates."" However, he added, any rate increase is not likely to happen until later this year, with MPC members likely to look for a more sustainable pick up in consumer spending before acting."
business,Industrial revival hope for Japan
business,"Japanese industry is growing faster than expected, boosting hopes that the country's retreat back into recession is over."
business,"Industrial output rose 2.1% - adjusted for the time of year - in January from a month earlier. At the same time, retail sales picked up faster than at any time since 1997. The news sent Tokyo shares to an eight-month high, as investors hoped for a recovery from the three quarters of contraction seen from April 2004 on. The Nikkei 225 index ended the day up 0.7% at 11,740.60 points, with the yen strengthening 0.7% against the dollar to 104.53 yen. Weaker exports, normally the engine for Japan's economy in the face of weak domestic demand, had helped trigger a 0.1% contraction in the final three months of last year after two previous quarters of shrinking GDP. Only an exceptionally strong performance in the early months of 2004 kept the year as a whole from showing a decline. The output figures brought a cautiously optimistic response from economic officials. ""Overall I see a low risk of the economy falling into serious recession,"" said Bank of Japan chief Toshihiko Fukui, despite warning that other indicators - such as the growth numbers - had been worrying."
business,"Within the overall industrial output figure, there were signs of a pullback from the export slowdown. Among the best-performing sectors were key overseas sales areas such as cars, chemicals and electronic goods. With US growth doing better than expected the picture for exports in early 2005 could also be one of sustained demand. Electronics were also one of the keys to the improved domestic market, with products such as flat-screen TVs in high demand during January."
business,Khodorkovsky ally denies charges
business,"A close associate of former Yukos boss Mikhail Khodorkovsky has told a court that fraud charges levelled against him are ""false""."
business,"Platon Lebedev has been on trial alongside Mr Khodorkovsky since June in a case centring around the privatisation of a fertiliser firm. The pair claim they are being punished by the authorities for the political ambitions of Mr Khodorkovsky. Mr Lebedev said there were ""absurd contradictions"" in the case. Opening his defence, he said he could not see the legal basis of the charges he faced, which also include allegations of tax evasion. ""To my embarrassment, I could not understand the file of complaints against me,"" he told a Moscow court. Mr Lebedev headed the Menatep group, the parent company of Yukos."
business,"Mr Lebedev and Mr Khodorkovsky, who each face a possible 10 year jail sentence if convicted, will be questioned by a judge over the next few days. Mr Khodorkovsky began his testimony last week, telling the court that he objected to the way that the ""running of a normal business has been presented as a work of criminal fiction"". The charges are seen by supporters as politically motivated and part of a drive by Russian President Vladimir Putin to rein in the country's super-rich business leaders, the so-called oligarchs. Yukos has been presented with a $27.5bn (£13bn) tax demand by the Russian authorities and its key Yugansk division was auctioned off to part settle the bill. The company's effort to gain bankruptcy protection in the US - in a bid to win damages for the sale - were dismissed by a court in Texas."
business,China keeps tight rein on credit
business,"China's efforts to stop the economy from overheating by clamping down on credit will continue into 2005, state media report."
business,"The curbs were introduced earlier this year to ward off the risk that rapid expansion might lead to soaring prices. There were also fears that too much stress might be placed on the fragile banking system. Growth in China remains at a breakneck 9.1%, and corporate investment is growing at more than 25% a year. The breakneck pace of economic expansion has kept growth above 9% for more than a year. Rapid tooling-up of China's manufacturing sector means a massive demand for energy - one of the factors which has kept world oil prices sky-high for most of this year. In theory, the government has a 7% growth target, but continues to insist that the overshoot does not mean a ""hard landing"" in the shape of an overbalancing economy. A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets. China has thus far resisted international pressure to break the link or at least to shift the level of its peg. To some extent, the credit controls do seem to be taking effect. Industrial output grew 15.7% in the year to October, down from 23% in February, and inflation slowed to 4.3% - although retail sales are still booming."
business,Verizon 'seals takeover of MCI'
business,"Verizon has won a takeover battle for US phone firm MCI with a bid worth $6.8bn (£3.6bn), reports say."
business,"The two firms are expected to seal the deal on Monday morning, according to news agency reports, despite what was thought to be a higher bid from Qwest. The US telecoms market is consolidating fast, with former long-distance giant AT&T being bought by former subsidiary SBC earlier this year for $16bn. MCI exited bankruptcy in April, having gone bust under previous name WorldCom. The bankruptcy followed its admission in 2002 that it illegally booked expenses and inflated profits."
business,"Shareholders lost about $180bn when the company collapsed, while 20,000 workers lost their jobs. Former Worldcom boss Bernie Ebbers is currently on trial, accused of overseeing an $11bn fraud. Qwest has itself come under suspicion of sub-standard behaviour, paying the Securities and Exchange Commission $250m in October to settle charges that it manipulated its results to keep Wall Street happy."
business,"MCI is the US's second-biggest long distance firm after AT&T. Consolidation in the US telecommunications industry has picked up in the past few months as companies look to cut costs and boost client bases. A merger between MCI and Verizon would be the fifth billion-dollar telecoms deal since October. Last week, SBC Communications agreed to buy its former parent and phone trailblazer AT&T for about $16bn. Buying MCI would give either Qwest or Verizon access to MCI's global network and business-based subscribers. The rationale is similar to the one underpinning SBC's AT&T deal. Verizon is by far the bigger company and has its own successful mobile arm - factors which may have swung the board in its favour since both suitors are offering a mixture of cash and shares."
business,Crossrail link 'to get go-ahead'
business,"The £10bn Crossrail transport plan, backed by business groups, is to get the go-ahead this month, according to The Mail on Sunday."
business,It says the UK Treasury has allocated £7.5bn ($13.99bn) for the project and that talks with business groups on raising the rest will begin shortly. The much delayed Crossrail Link Bill would provide for a fast cross-London rail link. The paper says it will go before the House of Commons on 23 February.
business,"A second reading could follow on 16 or 17 March. ""We've always said we are going to introduce a hybrid Bill for Crossrail in the Spring and this remains the case,"" the Department for Transport said on Sunday. Jeremy de Souza, a spokesman for Crossrail, said on Sunday he could not confirm whether the Treasury was planning to invest £7.5bn or when the bill would go before Parliament."
business,"However, he said some impetus may have been provided by the proximity of an election."
business,"The new line would go out as far as Maidenhead, Berkshire, to the west of London, and link Heathrow to Canary Wharf via the City. Heathrow to the City would take 40 minutes, dramatically cutting journey times for business travellers, and reducing overcrowding on the tube. The line has the support of the Mayor of London, Ken Livingstone, business groups and the government, but there have been three years of arguments over how it should be funded. The Mail on Sunday's Financial Mail said the £7.5bn of Treasury money was earmarked for spending in £2.5bn instalments in 2010, 2011 and 2012."
business,Small firms 'hit by rising costs'
business,"Rising fuel and materials costs are hitting confidence among the UK's small manufacturers despite a rise in output, business lobby group the CBI says."
business,"A CBI quarterly survey found output had risen by the fastest rate in seven years but many firms were seeing the benefits offset by increasing expenses. The CBI also found spending on innovation, training and retraining is forecast to go up over the next year. However, firms continue to scale back investment in buildings and machinery."
business,"The CBI said companies are looking to the government to lessen the regulatory load and are hoping interest rates will be kept on hold. ""Smaller manufacturers are facing an uphill struggle,"" said Hugh Morgan Williams, chair of the CBI's SME Council. ""The manufacturing sector needs a period of long-term stability in the economy."" The CBI found some firms managed to increase prices for the first time in nine years - but many said increases failed to keep up the rise in costs. Of the companies surveyed, 30% saw orders rise and 27% saw them fall. The positive balance of plus 3 compared with minus 10 in the previous survey. When firms were questioned on output volume, the survey returned a balance of plus 8 - the highest rate of increase for seven years - and rose to plus 11 when looking ahead to the next three months."
business,Deutsche Boerse boosts dividend
business,"Deutsche Boerse, the German stock exchange that is trying to buy its London rival, has said it will boost its 2004 dividend payment by 27%."
business,"Analysts said that the move is aimed at winning over investors opposed to its bid for the London Stock Exchange. Critics of the takeover have complained that the money could be better used by returning cash to shareholders. Deutsche Boerse also said profit in the three months to 31 December was 120.7m euros ($158.8m; £83.3m). Sales climbed to 364.4m euros, lifting revenue for the year to a record 1.45bn euros."
business,"Frankfurt-based Deutsche Boerse has offered £1.3bn ($2.48bn; 1.88bn euros) for the London Stock Exchange. Rival pan-European bourse Euronext is working also on a bid. Late on Monday, Deutsche Boerse said it would lift its 2004 dividend payment to 70 euro cents (£0.48; $0.98) from 55 euro cents a year earlier. ""There is a whiff of a sweetener in there,"" Anais Faraj, an analyst at Nomura told the BBC's World Business Report. ""Most of the disgruntled shareholders of Deutsche Boerse are complaining that the money that is being used for the bid could be better placed in their hands, paid out in dividends,"" Mr Faraj continued. Deutsche Boerse is ""trying to buy them off in a sense"", he said."
business,Brewers' profits lose their fizz
business,"Heineken and Carlsberg, two of the world's largest brewers, have reported falling profits after beer sales in western Europe fell flat."
business,Dutch firm Heineken saw its annual profits drop 33% and warned that earnings in 2005 may also slide. Danish brewer Carlsberg suffered a 3% fall in profits due to waning demand and increased marketing costs. Both are looking to Russia and China to provide future growth as western European markets are largely mature.
business,"Heineken's net income fell to 537m euros ($701m; £371m) during 2004, from 798m euro a year ago. It blamed weak demand in western Europe and currency losses. It had warned in September that the weakening US dollar, which has cut the value of foreign sales, would knock 125m euros off its operating profits. Despite the dip in profits, Heineken's sales have been improving and total revenue for the year was 10bn euros, up 8.1% from 9.26bn euros in 2003. Heineken said it now plans to invest 100m euros in ""aggressive"" and ""high-impact"" marketing in Europe and the US in 2005. Heineken, which also owns the Amstel and Murphy's stout brands, said it would also seek to cut costs. This may involve closing down breweries."
business,"Heineken increased its dividend payment by 25% to 40 euro cents, but warned that the continued impact of a weaker dollar and an increased marketing spend may lead to a drop in 2005 net profit."
business,"Carlsberg, the world's fifth-largest brewer, saw annual pre-tax profits fall to 3.4bn Danish kroner (456m euros). Its beer sales have been affected by the sluggish European economy and by the banning of smoking in pubs in several European countries. Nevertheless, total sales increased 4% to 36bn kroner, thanks to strong sales of Carlsberg lager in Russia and Poland. Carlsberg is more optimistic than Heineken about 2005, projecting a 15% rise in net profits for the year. However, it also plans to cut 200 jobs in Sweden, where sales have been hit by demand for cheap, imported brands. ""We remain cautious about the medium-to-long term outlook for revenue growth across western Europe for a host of economic, social and structural reasons,"" investment bank Merrill Lynch said of Carlsberg."
business,Russia WTO talks 'make progress'
business,"Talks on Russia's proposed membership of the World Trade Organisation (WTO) have been ""making good progress"" say those behind the negotiations."
business,"But the chairman of the working party, Ambassador Stefan Johannesson of Iceland, warned that there was ""still a lot of work has to be done"". His comments came as President George W Bush said the US backed Russian entry. But he said for Russia to make progress the government must ""renew a commitment to democracy and the rule of law"". His comments come three days before he is due to meet President Vladimir Putin."
business,"Russia has been waiting for a decade to join the WTO and hopes to finally become a member by early 2006. A decision could be reached in December, when the WTO's 148 current members gather for a summit in Hong Kong. That would allow an earliest date for membership of January 2006, if the Hong Kong summit gave its approval. While pinpointing several areas in which there are difficulties in the bilateral and multilateral work with Russia, the US said the meeting was ""much more efficient than we've seen for some time"". And Australia said it was ""one of the best (meetings) we can recall in terms of substance"". Mr Johannesson also said progress ""on the bilateral market access side is accelerating"". Sticking points to membership have included limits on foreign ownership in the telecommunications and life insurance businesses, as well as issues surrounding counterfeiting, piracy, and data protection. Some WTO members also dislike Russia's energy price subsidies, which competitors say give Russian businesses an unfair advantage."
business,India's rupee hits five-year high
business,India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the country's foreign currency rating.
business,"The rupee climbed to 43.305 per US dollar on Thursday, up from a close of 43.41. The currency has gained almost 1% in the past three sessions. S&P, which rates borrowers' creditworthiness, lifted India's rating by one notch to 'BB+'. With Indian assets now seen as less of a gamble, more cash is expected to flow into its markets, buoying the rupee."
business,"""The upgrade is positive and basically people will use it as an excuse to come back to India,"" said Bhanu Baweja, a strategist at UBS. ""Money has moved out from India in the first two or three weeks of January into other markets like Korea and Thailand and this upgrade should lead to a reversal."" India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'. The increase has put it on the same level as Romania, Egypt and El Salvador, and one level below Russia."
business,Dollar drops on reserves concerns
business,The US dollar has dropped against major currencies on concerns that central banks may cut the amount of dollars they hold in their foreign reserves.
business,"Comments by South Korea's central bank at the end of last week have sparked the recent round of dollar declines. South Korea, which has about $200bn in foreign reserves, said it plans instead to boost holdings of currencies such as the Australian and Canadian dollar. Analysts reckon that other nations may follow suit and now ditch the dollar. At 1300 GMT, the euro was up 0.9% on the day at 1.3187 euros per US dollar. The British pound had added 0.5% to break through the $1.90 level, while the dollar had fallen by 1.3% against the Japanese yen to trade at 104.16 yen."
business,"At the start of the year, the US currency, which had lost 7% against the euro in the final three months of 2004 and had fallen to record lows, staged something of a recovery."
business,"Analysts, however, pointed to the dollar's inability recently to extend that rally despite positive economic and corporate data, and highlighted the fact that many of the US's economic problems had not disappeared. The focus once again has been on the country's massive trade and budget deficits, with predictions of more dollar weakness to come. ""The comments from Korea came at a time when sentiment towards the dollar was already softening,"" said Ian Gunner, a trader at Mellon Financial. On Tuesday, traders in Asia said that both South Korea and Taiwan had withdrawn their bids to buy dollars at the start of the session. Mansoor Mohi-Uddin, chief currency strategist at UBS, said that there was a sentiment in the market that ""central banks from Asia and the Middle East are buying euros"". A report last month already showed that the dollar was losing its allure as a currency that offered rock-steady returns and stability. Compiled by Central Banking Publications and sponsored by the UK's Royal Bank of Scotland, the survey found 39 nations out of 65 questioned were increasing their euro holdings, with 29 cutting back on the US dollar."
business,India and Russia in energy talks
business,"India and Russia are to work together in a series of energy deals, part of a pact which could see India invest up to $20bn in oil and gas projects."
business,"On the agenda are oil and gas extraction as well as transportation deals, to be led by Russian energy giant Gazprom and India's ONGC. The Indian firm is also expected to hold talks on Tuesday about buying a stake in assets once owned by Yukos. It is reported to be keen on buying a 15% stake in oil unit Yuganskneftegas. The former Yukos subsidiary was controversially sold off last year and eventually acquired by state-owned energy giant Rosneft."
business,"Russian media reported that India and Russia signed a memorandum of understanding on energy co-operation on Tuesday during a meeting between Oil and Natural Gas Corporation chairman Subir Raha, Gazprom chairman Aleksey Miller and India's petroleum minister Mani Shankar Aiyar."
business,"The agreement is likely to see the two companies develop refining facilities in Russia, India and elsewhere and organise delivery of oil, gas and petrochemicals from Russia to India and other countries across Asia. ONGC could invest in gas and oil fields in Sakhalin, in the far east of Russia, and may also take part in joint tender bids for projects in eastern Siberia and the Caspian Sea."
business,India is urgently searching for fresh energy supplies - particularly liquefied natural gas - as domestic demand is growing at more than 5% a year.
